"Num-OP","Secuencia","OP Det","ClienteNombre","Productos","Categoría Proc","Detalle","Colores","Total Pieza","Producir","Cantidad Remitida","Precio Unitario Sin IVA","Total Precio Sin IVA","Estado OP","Creado El","Fecha Promesa","Ficha Técnica Producto","Muestra","Id.","OS","Id Costeo Producto","Costeo_Producto"
6728,1,"6728-1-BATA CHEF","Molt Panamá (PA)","BATA CHEF","Bata-","Uniforme Chefcolor verde Bata chef  Femenina  cuello tipo neru con  pechera de  asegurar con broches , bolsillo plano en delantero   izquierdo , manga tres  cuartos , cremallera en costado izquierdo ruedo liso ,  la bata debe quedar con silueta de dama","Verde",1,1,0,54661.0,54661.0,"Pte Aprobación Comercial","17/04/2026 13:38","31/12/1969","Captura de pantalla 2026-04-17 125953.png","true","83560638","false",83557638,"COS-0012959-2"
6728,2,"6728-2-DELANTAL MICO","Molt Panamá (PA)","DELANTAL MICO","Delantal-","Delantal mico unisexcolor  verdecorto  con tiras de  amarrar en la misma tela bolsillo central ,con embone en color contraste","Verde",1,1,0,22276.0,22276.0,"Pte Aprobación Comercial","17/04/2026 13:38","31/12/1969","Captura de pantalla 2026-04-17 121048.png","true","83560672","false",83558764,"COS-0012959-2"
6728,3,"6728-3-Cofia","Molt Panamá (PA)","Cofia","Gorro-","Cofia tipo pirataColor  verde con tiras de  amarrar en la mima tela  con banda  tipo corte  aparte en frente logo bordado  en  parte superior","Verde",1,1,0,13603.0,13603.0,"Pte Aprobación Comercial","17/04/2026 13:38","31/12/1969","Captura de pantalla 2026-04-17 133338.png","true","83560703","false",83558767,"COS-0012959-3"
6728,4,"6728-4-CAMISA MANGA CORTA","Molt Panamá (PA)","CAMISA MANGA CORTA","Camisa-","Camisa operativa manga corta Color beige cuello camisero con boton dauwn  , pechera de  asegurar con  botones a tono, bolsillo plano en delantero izquierdo logo  bordado sobre el bolsillo , aplique encauchetado en manga izquierda","Beige",1,1,0,46379.0,46379.0,"Pte Aprobación Comercial","17/04/2026 13:38","31/12/1969","camisa beig.png","true","83560731","false",83558768,"COS-0012959-4"
6728,5,"6728-5-Gorra seis cascos","Molt Panamá (PA)","Gorra seis cascos","Gorra-","Gorra operativa color beige  tipo seis cascos  con  visera  ensanduchada  en color  contraste logo bordado en casco frente","Negro|Beige",1,1,0,16622.0,16622.0,"Pte Aprobación Comercial","17/04/2026 13:38","31/12/1969","gorra3.png","true","83560760","false",83558777,"COS-0012959-5"
6727,1,"6727-1-bata","Molt Panamá (PA)","bata","Bata-","Bata de acuerdo con las especificaciones dadas en la página de solicitud de muestras: solicitud 428","Beige",1,1,0,34732.0,34732.0,"Pte Aprobación Comercial","16/04/2026 19:09","31/12/1969","","true","83496722","false",83496445,"COS-0012954-2"
6727,2,"6727-2-POLO MANGA CORTA","Molt Panamá (PA)","POLO MANGA CORTA","Camiseta-","Polo de acuerdo con las especificaciones dadas en la página de solicitud de muestras: solicitud 429","",1,1,0,52054.0,52054.0,"Pte Aprobación Comercial","16/04/2026 19:09","31/12/1969","","true","83496746","false",83496480,"COS-0012955-2"
6727,3,"6727-3-CAMISA MANGA CORTA","Molt Panamá (PA)","CAMISA MANGA CORTA","Camisa-","Camisa Polo de acuerdo con las especificaciones dadas en la página de solicitud de muestras: solicitud 426","",1,1,0,70340.0,70340.0,"Pte Aprobación Comercial","16/04/2026 19:09","31/12/1969","","true","83496774","false",83496548,"COS-0012956-2"
6727,4,"6727-4-Pantalón dotación","Molt Panamá (PA)","Pantalón dotación","Pantalon-","Pantalón de acuerdo con las especificaciones dadas en la página de solicitud de muestras: solicitud 425","",1,1,0,0.0,0.0,"Pte Aprobación Comercial","16/04/2026 19:09","31/12/1969","","true","83496798","false",83496581,"COS-0012954-2"
6726,1,"6726-1-uniforme dos  piezas","Pepsico","uniforme  dos piezas uniforme dos  piezas","uniformes-","PRODUCCIONUNIFORME DE PRODUCCION BLANCO","BLANCO",1,1,0,74999.0,74999.0,"Pendiente Inicio Producción","14/04/2026 11:18","31/12/1969","","true","83346973","false",83286027,"COS-0012941-35"
6726,2,"6726-2-uniforme dos  piezas","Pepsico","uniforme  dos piezas uniforme dos  piezas","uniformes-","PRODUCCIONUNIFORME DE PRODUCCION BEIGE","Beige",1,1,0,65359.0,65359.0,"Pendiente Inicio Producción","14/04/2026 11:18","31/12/1969","","true","83347010","false",83345946,"COS-0012941-2"
6726,3,"6726-3-uniforme dos  piezas","Pepsico","uniforme  dos piezas uniforme dos  piezas","uniformes-","PRODUCCIONUNIFORME BRIGADISTA  AZUL","Azul claro",1,1,0,71490.0,71490.0,"Pendiente Inicio Producción","14/04/2026 11:18","31/12/1969","","true","83347042","false",83346104,"COS-0012941-3"
6726,4,"6726-4-uniforme dos  piezas","Pepsico","uniforme  dos piezas uniforme dos  piezas","uniformes-","PRODUCCIONUNIFORME MANTENIMIENTO PREVENTIVO GRIS","Gris",1,1,0,71695.0,71695.0,"Pendiente Inicio Producción","14/04/2026 11:18","31/12/1969","","true","83347074","false",83346246,"COS-0012941-4"
6726,5,"6726-5-uniforme dos  piezas","Pepsico","uniforme  dos piezas uniforme dos  piezas","uniformes-","PRODUCCIONPRODUCCION UNIFORME MATERNO BLANCO","BLANCO",1,1,0,81995.0,81995.0,"Pendiente Inicio Producción","14/04/2026 11:18","31/12/1969","","true","83347102","false",83346466,"COS-0012941-5"
6725,1,"6725-1-overol enterizo","POINTER","overol enterizo overol enterizo","Overol-","OVEROL ENTERIZO IGNIFUGO CON REFLECTIVOS BICOLOR. DE 1 Y 2 PUNGADAS. EN GABARDINA AZUL OSCURA  , ESPALDA CON FUELLE  DE AMPLITUD   LOGO  BORDADO EN PECHO IZQUIERDO, OVEROL DEBE QUEDAR  IGUAL AL TALLAJE DE LA MUESTTRA  FISICA","Azul oscuro",2,2,0,233295.0,466590.0,"Pte Aprobación Comercial","14/04/2026 7:40","10/05/2026","","false","83334686","false",83330541,"COS-0012945-2"
6724,1,"6724-1-BLAZER SASTRE","AEROSAN S.A.S.","BLAZER SASTRE","Chaqueta-","BLEIZER TRAFICO  DOTACION HOMBRE. LOGO BORDADO SEGUN MUESTRA ENTREGADA POR EL CLIENTE","Azul oscuro",12,12,0,153617.0,1843404.0,"En Producción","13/04/2026 20:38","22/05/2026","114010 FT. SACO SASTRE AZUL OSCURO TRAFICO AEROSAN HOMBRE.pdf","false","83294264","false",83287040,"COS-0012943-2"
6724,2,"6724-2-PANTALÓN SASTRE","AEROSAN S.A.S.","PANTALÓN SASTRE","Pantalon-","PANTALON SATRE  HOMBRE  COLOR  AZUL OSCURO","Azul oscuro",36,36,0,56496.0,2033856.0,"En Producción","13/04/2026 20:38","22/05/2026","108150 FT. PANTALÓN AZUL OSCURO TRAFICO AEROSAN HOMBRE.pdf","false","83294295","false",83287047,"COS-0012943-3"
6724,3,"6724-3-BLAZER SASTRE","AEROSAN S.A.S.","BLAZER SASTRE","Chaqueta-","BLEIZER TRAFICO  DOTACION DAMA","Azul oscuro",26,26,0,120509.0,3133234.0,"En Producción","13/04/2026 20:38","22/05/2026","","false","83294324","false",83287055,"COS-0012943-4"
6724,4,"6724-4-PANTALÓN SASTRE","AEROSAN S.A.S.","PANTALÓN SASTRE","Pantalon-","PANTALON AZUL TRAFICO  DAMA","Azul oscuro",78,78,0,52157.0,4068246.0,"En Producción","13/04/2026 20:38","22/05/2026","","false","83294355","false",83287062,"COS-0012943-5"
6724,5,"6724-5-CAMISA MANGA LARGA","AEROSAN S.A.S.","CAMISA MANGA LARGA","Camisa-","CAMISA AZUL TRAFICO HOMBRE","Azul claro",36,36,0,47006.0,1692216.0,"En Producción","13/04/2026 20:38","22/05/2026","102221 FT. CAMISA AZUL CLARO MANGA LARGA AEROSAN HOMBRE (2).pdf","false","83294385","false",83287069,"COS-0012943-6"
6724,6,"6724-6-camisa cuello V","AEROSAN S.A.S.","camisa cuello V","Camisa-","CAMISA AZUL TRAFICO  DAMA","Azul claro",78,78,0,50969.0,3975582.0,"En Producción","13/04/2026 20:38","22/05/2026","202235 FT. BLUSA MANGA LARGA AZUL AEROSAN DAMA (1).pdf","false","83294412","false",83287076,"COS-0012943-7"
