"Num-OP","Secuencia","OP Det","ClienteNombre","Productos","Categoría Proc","Detalle","Colores","Total Pieza","Producir","Cantidad Remitida","Precio Unitario Sin IVA","Total Precio Sin IVA","Estado OP","Creado El","Fecha Promesa","Ficha Técnica Producto","Muestra","Id.","OS","Id Costeo Producto","Costeo_Producto"
6731,1,"6731-1-Cofia","ALBATEQ","Cofia","Gorro-","A- Prenda: CofiaTela dacrón, para cubrir el cabello.","AZUL",200,200,0,4676.0,935200.0,"Pendiente Inicio Producción","21/04/2026 15:07","11/05/2026","313075 FT. COFIA MALLA AZUL OSCURA ALBATEQ (2).pdf","false","83761638","false",83483055,"COS-0012952-8"
6730,1,"6730-1-Saco Tejido","TALMA COLOMBIA","Saco Tejido","Saco-","SACO CERRADO V LANA TM UNISEX AZUL PETROLEO","AZUL",921,921,0,63765.0,5.8727565E7,"Pendiente Inicio Producción","21/04/2026 14:41","04/05/2026","104082 FT. SACO TEJIDO CUELLO V AZUL TALMA HOMBRE (3).pdf","false","83760581","false",83754159,"COS-0012858-1"
6730,2,"6730-2-CHALECO REFLECTIVO","TALMA COLOMBIA","CHALECO REFLECTIVO","Chaleco-","PEGADO DE BOLSILLO TALMA","Naranja",70,70,0,3323.0,232610.0,"Pendiente Inicio Producción","21/04/2026 14:41","04/05/2026","105054 FT. CHALECO NARANJA DESPACHADOR TALMA BOGOTÁ HOMBRE (2).pdf","false","83760636","false",83755995,"COS-0012858-2"
6729,1,"6729-1-Overol Tipo Piloto","G4S","Overol Tipo Piloto","Overol-","12.  D442312001  OVEROL INDUSTRIAL CON REFLECTIVO","Azul oscuro",1,1,0,124670.0,124670.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D442312001 OVEROL CINTA REFLECTIVA.pdf","false","83696867","false",83506645,"COS-0012957-12"
6729,2,"6729-2-PANTALÓN SASTRE","G4S","PANTALÓN SASTRE","Pantalon-","15. D412120001   PANTALON NEGRO ADMINISTRATIVO HOMBRE","Negro",1,1,0,88184.0,88184.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D412120001 PANTALON NEGRO ADMINISTRATIVO.pdf","false","83696905","false",83507077,"COS-0012957-15"
6729,3,"6729-3-ROMPEVIENTOS REFLECTIVA","G4S","ROMPEVIENTOS REFLECTIVA","Chaqueta-","17.  D411324001  CHAQUETA NEGRA INT ROJO HOMBRE","Negro",1,1,0,83798.0,83798.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D411324001 CHAQUETA NEGRA INTERIOR ROJO.pdf","false","83696931","false",83507180,"COS-0012957-17"
6729,4,"6729-4-CAMISA MANGA LARGA","G4S","CAMISA MANGA LARGA","Camisa-","21.  D371142001  CAMISA HOMBRE MANGA LARGA OXFORD BLANCA- CON LOG","Blanco",1,1,0,64943.0,64943.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D371142001 CAMISA MANGA LARGA OXFORD BLANCA- CON LOG .pdf","false","83696969","false",83507381,"COS-0012957-21"
6729,5,"6729-5-pantalón  overol","G4S","pantalón  overol","Pantalon-","39.  D322120036  PANTALON NEGRO TACTICO HOMBRE","Negro",1,1,0,94545.0,94545.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D322120036  PANTALON NEGRO TACTICO .pdf","false","83697001","false",83508160,"COS-0012957-39"
6729,6,"6729-6-PANTALÓN SASTRE","G4S","PANTALÓN SASTRE","Pantalon-","43. D322116724  PANTALON DE SASTRE - AZUL HOMBRE","Azul oscuro",1,1,0,109643.0,109643.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D322116724 PANTALÓN DE SASTRE - AZUL- HOMBRE.pdf","false","83697041","false",83508282,"COS-0012957-43"
6729,7,"6729-7-Abrigo Sastre","G4S","Abrigo Sastre","Sastrería-","50. D321911724  BLAZER DE SASTRE - AZUL  HOMBRE","Azul oscuro",1,1,0,252117.0,252117.0,"Pendiente Inicio Producción","20/04/2026 16:44","03/05/2026","D321911724 BLEISER BLAZER DE SASTRE - AZUL - HOMBRE.pdf","false","83697073","false",83508509,"COS-0012957-50"
