"Num-OP","Secuencia","OP Det","ClienteNombre","Productos","Categoría Proc","Detalle","Colores","Total Pieza","Producir","Cantidad Remitida","Precio Unitario Sin IVA","Total Precio Sin IVA","Estado OP","Creado El","Fecha Promesa","Ficha Técnica Producto","Muestra","Id.","OS","Id Costeo Producto","Costeo_Producto"
6672,1,"6672-1-Buzo / Cerrado","GRAN AMERICA","Buzo / Cerrado","Buzo-","BUZO gris oscurodamaMaprycomCuello redondoManga larga con puños en ribRuedo o fajón en riblogo estampado en pecho, hiladillo color hueso","Gris",26,26,0,59968.0,1559168.0,"Pendiente Inicio Producción","17/03/2026 18:26","08/05/2026","204046 FT. SACO CUELLO REDONDO GRIS GRAN AMERICA DAMA.pdf","false","81889384","false",81884540,"COS-0012801-2"
6672,2,"6672-2-Buzo / Cerrado","GRAN AMERICA","Buzo / Cerrado","Buzo-","BUZO VERDEdamaMaprycomCuello redondoManga larga con puños en ribRuedo o fajón en riblogo estampado en pecho, hiladillo en cuello","Verde",26,26,0,59968.0,1559168.0,"Pendiente Inicio Producción","17/03/2026 18:26","08/05/2026","204047 FT. SACO CUELLO REDONDO VERDE AMERICA DAMA.pdf","false","81889412","false",81884548,"COS-0012801-3"
6672,3,"6672-3-Buzo / Cerrado","GRAN AMERICA","Buzo / Cerrado","Buzo-","BUZO VERDEHombre MaprycomCuello redondoManga larga con puños en ribRuedo o fajón en riblogo estampado en pecho, hiladillo en cuello","Verde",36,36,0,59968.0,2158848.0,"Pendiente Inicio Producción","17/03/2026 18:26","08/05/2026","104151 FT. SACO CUELLO REDONDO VERDE GRAN AMERICA HOMBRE.pdf","false","81889485","false",81884555,"COS-0012801-4"
6672,4,"6672-4-Buzo / Cerrado","GRAN AMERICA","Buzo / Cerrado","Buzo-","BUZO gris oscuroHombre MaprycomCuello redondoManga larga con puños en ribRuedo o fajón en riblogo estampado en pecho, hiladillo color hueso","Gris",36,36,0,59968.0,2158848.0,"Pendiente Inicio Producción","17/03/2026 18:26","08/05/2026","104152 FT. SACO CUELLO REDONDO GRIS GRAN AMERICA HOMBRE.pdf","false","81889513","false",81884562,"COS-0012801-5"
6671,1,"6671-1-Abrigo Sastre","AVIANCA","Abrigo Sastre","Sastrería-","ABRIGO (F) FORMAL","Rojo",1,1,0,522104.0,522104.0,"En Producción","17/03/2026 11:41","31/12/1969","ABRIGO FEMENINO TCP.pdf","true","81871424","false",81147999,"COS-0012713-1"
6671,2,"6671-2-Abrigo Sastre","AVIANCA","Abrigo Sastre","Sastrería-","ABRIGO (M) FORMAL","Gris",1,1,0,537035.0,537035.0,"En Producción","17/03/2026 11:41","31/12/1969","ABRIGO MASCULINO TCP.pdf","true","81871458","false",81148032,"COS-0012713-2"
6671,3,"6671-3-Abrigo Sastre","AVIANCA","Abrigo Sastre","Sastrería-","ABRIGO COPI-CAPI F","Negro",1,1,0,533544.0,533544.0,"En Producción","17/03/2026 11:41","31/12/1969","ABRIGO PILOTO - COPILOTO (F).pdf","true","81871493","false",81148057,"COS-0012713-3"
6671,4,"6671-4-Abrigo Sastre","AVIANCA","Abrigo Sastre","Sastrería-","ABRIGO COPI-CAPI M","Negro",1,1,0,534170.0,534170.0,"En Producción","17/03/2026 11:41","31/12/1969","ABRIGO PILOTO - COPILOTO (M).pdf","true","81871525","false",81150208,"COS-0012713-4"
6671,5,"6671-5-Saco Tejido","AVIANCA","Saco Tejido","Saco-","CARDIGAN FORMAL FEMENINO","Rojo",1,1,0,112905.0,112905.0,"En Producción","17/03/2026 11:41","31/12/1969","CARDIGAN FORMAL FEMENINO.pdf","true","81871566","false",81153005,"COS-0012713-5"
6671,6,"6671-6-Saco Tejido","AVIANCA","Saco Tejido","Saco-","CARDIGAN FORMAL MASCULINO","Gris",1,1,0,112769.0,112769.0,"En Producción","17/03/2026 11:41","31/12/1969","CARDIGAN FORMAL MASCULINO.pdf","true","81871614","false",81153589,"COS-0012713-6"
6671,7,"6671-7-Falda","AVIANCA","Falda","Falda-","FALDA FORMAL","Gris",1,1,0,107273.0,107273.0,"En Producción","17/03/2026 11:41","31/12/1969","FALDA FORMAL.pdf","true","81871647","false",81153621,"COS-0012713-7"
6671,8,"6671-8-CHALECO ENGUATADO","AVIANCA","CHALECO ENGUATADO","Chaleco-","CHALECO ACOLCHADO (F)","Gris",1,1,0,341.0,341.0,"En Producción","17/03/2026 11:41","31/12/1969","CHALECO ACOLCHADO (F).pdf","true","81871673","false",81187514,""
6671,9,"6671-9-CHALECO ENGUATADO","AVIANCA","CHALECO ENGUATADO","Chaleco-","CHALECO ACOLCHADO (M)","Rojo",1,1,0,341.0,341.0,"En Producción","17/03/2026 11:41","31/12/1969","CHALECO ACOLCHADO (M).pdf","true","81871707","false",81187840,"COS-0012713-9"
6671,10,"6671-10-CHALECO PERIODISTA","AVIANCA","CHALECO PERIODISTA","Chaleco-","CHALECO DE SERVICIOS (M)","Gris",1,1,0,43799.0,43799.0,"En Producción","17/03/2026 11:41","31/12/1969","CHALECO DE SERVICIOS (M).pdf","true","81871742","false",81191433,"COS-0012713-10"
6671,11,"6671-11-CHALECO PERIODISTA","AVIANCA","CHALECO PERIODISTA","Chaleco-","CHALECO SERVICIO JEFE (M) (JCP)","Gris",1,1,0,43799.0,43799.0,"En Producción","17/03/2026 11:41","31/12/1969","CHALECO JCP (M).pdf","true","81871773","false",81191663,"COS-0012713-11"
6671,12,"6671-12-Chaqueta Clima Frio","AVIANCA","Chaqueta Clima Frio","Chaqueta-","CHAQUETA FEMENINA INVIERNO","Gris",1,1,0,117426.0,117426.0,"En Producción","17/03/2026 11:41","31/12/1969","CHAQUETA FEMENINA INVIERNO.pdf","true","81871805","false",81191910,"COS-0012713-12"
6671,13,"6671-13-Chaqueta Clima Frio","AVIANCA","Chaqueta Clima Frio","Chaqueta-","CHAQUETA MASCULINA INVIERNO","Rojo",1,1,0,341.0,341.0,"En Producción","17/03/2026 11:41","31/12/1969","CHAQUETA MASCULINA INVIERNO.pdf","true","81871833","false",81192446,"COS-0012713-13"
6671,14,"6671-14-CORBATA ADMINISTRATIVA","AVIANCA","CORBATA ADMINISTRATIVA","Accesorios-","CORBATA (M) TALLA UNICA","Gris",1,1,0,24269.0,24269.0,"En Producción","17/03/2026 11:41","31/12/1969","CORBATA (M).pdf","true","81871867","false",81193075,"COS-0012713-14"
6671,15,"6671-15-CORBATA ADMINISTRATIVA","AVIANCA","CORBATA ADMINISTRATIVA","Accesorios-","CORBATA FORMAL JCP (F)","Rojo",1,1,0,24269.0,24269.0,"En Producción","17/03/2026 11:41","31/12/1969","CORBATA FORMAL JCP (F).pdf","true","81871905","false",81193126,"COS-0012713-15"
6671,16,"6671-16-CORBATA ADMINISTRATIVA","AVIANCA","CORBATA ADMINISTRATIVA","Accesorios-","CORBATA PILOTO - COPILOTO","Negro",1,1,0,24269.0,24269.0,"En Producción","17/03/2026 11:41","31/12/1969","CORBATA PILOTO - COPILOTO.pdf","true","81871932","false",81193303,"COS-0012713-16"
6671,17,"6671-17-CORBATA ADMINISTRATIVA","AVIANCA","CORBATA ADMINISTRATIVA","Accesorios-","CORBATA CAPITANES","NEGRO",1,1,0,24269.0,24269.0,"En Producción","17/03/2026 11:41","31/12/1969","CORBATA CAPITANES.pdf","true","81871956","false",81195560,"COS-0012713-17"
6671,18,"6671-18-PANTALÓN SASTRE","AVIANCA","PANTALÓN SASTRE","Pantalon-","PANTALON FORMAL (F)","Gris",1,1,0,81829.0,81829.0,"En Producción","17/03/2026 11:41","31/12/1969","PANTALON FORMAL (F).pdf","true","81871988","false",81195606,"COS-0012713-18"
6671,19,"6671-19-PANTALÓN SASTRE","AVIANCA","PANTALÓN SASTRE","Pantalon-","PANTALON FORMAL (M)","Gris",1,1,0,81078.0,81078.0,"En Producción","17/03/2026 11:41","31/12/1969","PANTALON FORMAL (M).pdf","true","81872019","false",81195616,"COS-0012713-19"
6671,20,"6671-20-Pañoleta","AVIANCA","Pañoleta","Accesorios-","PAÑOLETA FORMAL (F)","Rojo",1,1,0,27811.0,27811.0,"En Producción","17/03/2026 11:41","31/12/1969","PAÑOLETA FORMAL (F).pdf","true","81872056","false",81199100,"COS-0012713-20"
6671,21,"6671-21-Sastre Femenino","AVIANCA","Sastre Femenino","Sastrería-","SACO FORMAL (F)","Gris",1,1,0,217063.0,217063.0,"En Producción","17/03/2026 11:41","31/12/1969","SACO FORMAL (F).pdf","true","81872086","false",81199180,"COS-0012713-21"
