,Orden de Satélite,Num OS,Estado,Satélite Procesos,Valor Unitario,Cantidad,Producto,SubTotal,Orden de Produccion,Proveedor,Orden Satélite PDF,Fecha Entrega a Satélite,Fecha Promesa a Molt,Ficha Técnica Producto,Orden de Producción Det,Creado por,Cliente,Id.,Costeo
0,OS-0021473-6648-5-HODDIE CERRADO,21473,En Proceso,Confección,8500.0,213.0,HODDIE CERRADO,1810500.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,REYES CAPERA MARIA,,28/03/2026,10/04/2026,104155 - 204049 FT. HOODIE VERDE PINO BANCO DE LA REPUBLICA.pdf,6648-5-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82491889,COS-0012742 (Costeo)
1,OS-0021472-6625-8-CHAQUETA SPORT,21472,En Proceso,Estampado,1200.0,20.0,CHAQUETA SPORT,24000.0,OP-ALBATEQ 0006625,DORA NANCY HERRERA MARTINEZ,,28/03/2026,31/03/2026,104159 FT. SACO ABIERTO BEIGE ALBATEQ HOMBRE (1).pdf,6625-8-CHAQUETA SPORT,Cristian Esguerra,ALBATEQ,82490278,COS-0012675 (Costeo)
2,OS-0021471-6625-2-CHAQUETA SPORT,21471,Creado,Estampado,1200.0,6.0,CHAQUETA SPORT,7200.0,OP-ALBATEQ 0006625,,,28/03/2026,29/03/2026,104160 FT. SACO ABIERTO AZUL OSCURO HOMBRE ALBATEQ.pdf,6625-2-CHAQUETA SPORT,Cristian Esguerra,ALBATEQ,82490059,COS-0012675 (Costeo)
3,OS-0021470-6625-2-CHAQUETA SPORT,21470,En Proceso,Estampado,1200.0,79.0,CHAQUETA SPORT,94800.0,OP-ALBATEQ 0006625,DORA NANCY HERRERA MARTINEZ,,28/03/2026,31/03/2026,104160 FT. SACO ABIERTO AZUL OSCURO HOMBRE ALBATEQ.pdf,6625-2-CHAQUETA SPORT,Cristian Esguerra,ALBATEQ,82490044,COS-0012675 (Costeo)
4,OS-0021469-6625-1-POLO MANGA CORTA,21469,En Proceso,Confección,5500.0,53.0,POLO MANGA CORTA,291500.0,OP-ALBATEQ 0006625,NILSON ANTONIO GARAY,,28/03/2026,01/04/2026,103242-203220 FT. POLO BLANCO ALBATEQ HOMBRE DAMA.pdf,6625-1-POLO MANGA CORTA,Cristian Esguerra,ALBATEQ,82486424,COS-0012675 (Costeo)
5,OS-0021468-6581-5-BATA CHEF,21468,En Proceso,Confección,10000.0,30.0,BATA CHEF,300000.0,OP-NUTRESA 0006581,JOSE IGNACIO - Teresa,,28/03/2026,06/04/2026,107042 FT. BATA CHEF MANGA CORTA EMBONE AZUL JEFE AUXILIAR COCINA CORRAL GOURMET GRUPO ACO HOMBRE (2).pdf,6581-5-BATA CHEF,Cristian Esguerra,NUTRESA,82453901,COS-0012572 (Costeo)
6,OS-0021467-6579-10-BATA CHEF,21467,En Proceso,Confección,10000.0,25.0,BATA CHEF,250000.0,OP-NUTRESA 0006579,MAUDA  YANETH ALFONSO ROA,,28/03/2026,06/04/2026,207038 FT. BATA CHEF MANGA CORTA EMBONE NEGRO AUX COCINA LEÑOS Y CARBÓN GRUPO ACO DAMA.pdf,6579-10-BATA CHEF,Cristian Esguerra,NUTRESA,82449982,COS-0012561 (Costeo)
7,OS-0021466-6579-9-BATA CHEF,21466,En Proceso,Confección,10000.0,15.0,BATA CHEF,150000.0,OP-NUTRESA 0006579,MAUDA  YANETH ALFONSO ROA,,28/03/2026,06/04/2026,107044 FT. BATA CHEF MANGA CORTA EMBONE NEGRO AUX COCINA LEÑOS Y CARBÓN GRUPO ACO HOMBRE.pdf,6579-9-BATA CHEF,Cristian Esguerra,NUTRESA,82449634,COS-0012561 (Costeo)
8,OS-0021465-6650-4-CHAQUETA SPORT,21465,En Proceso,Confección,15000.0,30.0,CHAQUETA SPORT,450000.0,OP-SITARA 0006650,ALBA LUZ CORTES URREA,,28/03/2026,06/04/2026,106217 FT. CHAQUETA GRIS SITARA LOGO PECHO.pdf,6650-4-CHAQUETA SPORT,Cristian Esguerra,SITARA,82449080,COS-0012757 (Costeo)
9,OS-0021464-6620-22-POLO MANGA CORTA,21464,En Proceso,Bordado,1200.0,5.0,POLO MANGA CORTA,6000.0,OP-OMNITEMPUS 0006620,CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL,,27/03/2026,31/03/2026,,6620-22-POLO MANGA CORTA,Cristian Esguerra,OMNITEMPUS,82447891,COS-0012649 (Costeo)
