0,1,2,3
83764112.0,16544002,1200,2026-04-21T21:36:23Z
83764112.0,18429545,13000,2026-04-21T21:29:31Z
83755796.0,18429545,5500,2026-04-21T21:28:34Z
83763922.0,14158021,15800,2026-04-21T21:23:39Z
83762369.0,15342541,16500,2026-04-21T21:15:03Z
83755787.0,18429545,5500,2026-04-21T16:53:24Z
83755787.0,16544002,2400,2026-04-21T16:52:49Z
83755995.0,18429545,2500,2026-04-21T16:49:40Z
83753993.0,18429545,5500,2026-04-21T16:17:27Z
83753987.0,16544002,1200,2026-04-21T16:14:04Z
83753987.0,15342541,19300,2026-04-21T16:12:54Z
83754159.0,15342541,45000,2026-04-21T16:05:16Z
83694606.0,18429545,4500,2026-04-20T20:36:28Z
83694596.0,18429545,7500,2026-04-20T20:36:28Z
83694596.0,16544003,1400,2026-04-20T20:36:28Z
83694589.0,18429545,4500,2026-04-20T20:36:28Z
83694576.0,18429545,7000,2026-04-20T20:36:28Z
83694576.0,16544003,1000,2026-04-20T20:36:28Z
83694569.0,18429545,5000,2026-04-20T20:36:28Z
83694569.0,16544003,1000,2026-04-20T20:36:28Z
83481772.0,18429545,95300,2026-04-17T21:33:46Z
83481763.0,18429545,29500,2026-04-17T21:30:23Z
83481761.0,18429545,64500,2026-04-17T21:24:23Z
83564936.0,16544003,1500,2026-04-17T21:13:55Z
83564936.0,18429545,8500,2026-04-17T21:13:08Z
83564961.0,18429545,29680,2026-04-17T21:10:16Z
83564810.0,16544003,1500,2026-04-17T21:07:53Z
83564810.0,15342541,55000,2026-04-17T21:07:22Z
83564518.0,16544003,1500,2026-04-17T21:02:17Z
83564518.0,18429545,5500,2026-04-17T21:02:01Z
83564527.0,18429545,15000,2026-04-17T20:59:03Z
83564293.0,18429545,16500,2026-04-17T20:49:30Z
83564293.0,16544003,1800,2026-04-17T20:49:30Z
83563935.0,18429545,18000,2026-04-17T20:38:59Z
83563935.0,16544003,1800,2026-04-17T20:38:59Z
83563364.0,18429545,16500,2026-04-17T20:35:36Z
83563364.0,16544003,1800,2026-04-17T20:34:48Z
83481751.0,18429545,38000,2026-04-17T20:08:02Z
83481692.0,18429545,14500,2026-04-17T18:40:53Z
83558777.0,16093810,0,2026-04-17T18:29:59Z
83558777.0,18429545,7000,2026-04-17T18:27:41Z
83558777.0,16544003,2800,2026-04-17T18:27:21Z
